2 0.165602
4 0.048500
8 0.014336
16 0.054028
32 0.063986
64 0.025661
128 0.016074
256 0.003846
512 0.010353
1024 0.018749
2048 0.000607
4096 0.000462
8192 0.002359
16384 0.001517
32768 0.001878
65536 0.001132
131072 0.000308
262144 0.000658
524288 0.000487
1048576 0.000388
2097152 0.000180
4194304 0.000219
8388608 0.000092
16777216 0.000003
33554432 0.000079
67108864 0.000017
134217728 0.000028
268435456 0.000005
536870912 0.000007
1073741824 0.000008
2 0.018468
4 0.045703
8 0.120245
16 0.052742
32 0.012751
64 0.017514
128 0.012516
256 0.009698
512 0.002386
1024 0.005879
2048 0.001606
4096 0.002309
8192 0.001791
16384 0.000240
32768 0.000265
65536 0.001005
131072 0.000722
262144 0.000346
524288 0.000374
1048576 0.000383
2097152 0.000079
4194304 0.000026
8388608 0.000013
16777216 0.000002
33554432 0.000051
67108864 0.000017
134217728 0.000012
268435456 0.000017
536870912 0.000003
1073741824 0.000005
2 0.204498
4 0.112835
8 0.052382
16 0.030741
32 0.055334
64 0.010700
128 0.006325
256 0.019890
512 0.000703
1024 0.000252
2048 0.000045
4096 0.000509
8192 0.000269
16384 0.000560
32768 0.002192
65536 0.001773
131072 0.001398
262144 0.001462
524288 0.000773
1048576 0.000503
2097152 0.000360
4194304 0.000296
8388608 0.000174
16777216 0.000071
33554432 0.000058
67108864 0.000007
134217728 0.000012
268435456 0.000004
536870912 0.000005
1073741824 0.000004
2 0.129766
4 0.143212
8 0.107272
16 0.181053
32 0.144026
64 0.049352
128 0.045946
256 0.005783
512 0.008959
1024 0.006759
2048 0.004800
4096 0.011539
8192 0.006886
16384 0.003196
32768 0.002387
65536 0.000641
131072 0.000598
262144 0.000626
524288 0.000395
1048576 0.000100
2097152 0.000005
4194304 0.000039
8388608 0.000035
16777216 0.000042
33554432 0.000065
67108864 0.000004
134217728 0.000075
268435456 0.000019
536870912 0.000004
1073741824 0.000008
2 0.011886
4 0.115061
8 0.044568
16 0.080407
32 0.074057
64 0.011142
128 0.040376
256 0.047632
512 0.030603
1024 0.014588
2048 0.005495
4096 0.000662
8192 0.004307
16384 0.002266
32768 0.000152
65536 0.001064
131072 0.000651
262144 0.000054
524288 0.000175
1048576 0.000200
2097152 0.000206
4194304 0.000140
