2 .002080053
4 .002196407
8 .002333783
16 .001991077
32 .002072790
64 .001801250
128 .001929338
256 .001956924
512 .001957972
1024 .002014194
2048 .002105685
4096 .002326170
8192 .002134878
16384 .002170218
32768 .002402506
65536 .003728843
131072 .004995117
262144 .004935893
524288 .007070421
1048576 .012254387
2097152 .022101031
4194304 .041598414
8388608 .080850404
16777216 .159376872
33554432 .315026508
67108864 .652170109
134217728 1.259542140
268435456 2.509553875
536870912 4.994222746
1073741824 10.236454582
