thread 0, x=-0.999800, f=0.500100
thread 0, x=-0.999600, f=0.500200
thread 0, x=-0.999400, f=0.500300
thread 3, x=0.500350, f=0.799776
thread 1, x=-0.499750, f=0.800160
thread 1, x=-0.499550, f=0.800288
thread 1, x=-0.499350, f=0.800416
thread 1, x=-0.499150, f=0.800544
thread 1, x=-0.498950, f=0.800672
thread 1, x=-0.498750, f=0.800800
thread 1, x=-0.498550, f=0.800928
thread 1, x=-0.498350, f=0.801056
thread 1, x=-0.498150, f=0.801184
thread 1, x=-0.497950, f=0.801312
thread 1, x=-0.497750, f=0.801439
thread 2, x=0.000300, f=1.000000
thread 2, x=0.000500, f=1.000000
thread 2, x=0.000700, f=1.000000
thread 2, x=0.000900, f=0.999999
thread 2, x=0.001100, f=0.999999
thread 2, x=0.001300, f=0.999998
thread 2, x=0.001500, f=0.999998
thread 1, x=-0.497550, f=0.801567
thread 1, x=-0.497350, f=0.801695
thread 1, x=-0.497150, f=0.801823
thread 2, x=0.001700, f=0.999997
thread 3, x=0.500550, f=0.799648
thread 1, x=-0.496950, f=0.801951
thread 3, x=0.500750, f=0.799520
thread 3, x=0.500950, f=0.799392
thread 3, x=0.501150, f=0.799264
thread 3, x=0.501350, f=0.799136
thread 3, x=0.501550, f=0.799008
thread 3, x=0.501750, f=0.798879
thread 2, x=0.001900, f=0.999996
thread 3, x=0.501950, f=0.798751
thread 3, x=0.502150, f=0.798623
thread 3, x=0.502350, f=0.798495
thread 3, x=0.502550, f=0.798367
thread 3, x=0.502750, f=0.798239
thread 3, x=0.502950, f=0.798111
thread 2, x=0.002100, f=0.999996
thread 0, x=-0.999200, f=0.500400
thread 1, x=-0.496750, f=0.802079
thread 2, x=0.002300, f=0.999995
thread 2, x=0.002500, f=0.999994
thread 2, x=0.002700, f=0.999993
thread 1, x=-0.496550, f=0.802207
thread 3, x=0.503150, f=0.797983
thread 0, x=-0.999000, f=0.500500
thread 3, x=0.503350, f=0.797854
thread 2, x=0.002900, f=0.999992
thread 3, x=0.503550, f=0.797726
thread 2, x=0.003100, f=0.999990
thread 3, x=0.503750, f=0.797598
thread 0, x=-0.998800, f=0.500600
thread 0, x=-0.998600, f=0.500701
thread 0, x=-0.998400, f=0.500801
thread 3, x=0.503950, f=0.797470
thread 0, x=-0.998200, f=0.500901
thread 0, x=-0.998000, f=0.501001
thread 0, x=-0.997800, f=0.501101
thread 0, x=-0.997600, f=0.501202
thread 0, x=-0.997400, f=0.501302
thread 3, x=0.504150, f=0.797342
thread 2, x=0.003300, f=0.999989
thread 3, x=0.504350, f=0.797213
thread 2, x=0.003500, f=0.999988
thread 1, x=-0.496350, f=0.802334
thread 0, x=-0.997200, f=0.501402
thread 1, x=-0.496150, f=0.802462
