#Threads N Integral Time
1 1000000000 7.33007e-11 234.929838
2 2000000000 3.74721e-10 234.958685
4 4000000000 3.63722e-10 235.050498
8 8000000000 3.74728e-10 231.253866
16 16000000000 3.74165e-10 241.213777
32 32000000000 3.69016e-10 385.908926
64 64000000000 3.69782e-10 241.184101
128 128000000000 3.73768e-10 268.839921
